Date,cours
6/10/2016,556.12
7/10/2016,555.59
8/10/2016,552.88
9/10/2016,556.09
10/10/2016,582.24
11/10/2016,579.33
12/10/2016,574.85
13/10/2016,583.05
14/10/2016,582.64
15/10/2016,585.22
16/10/2016,581.18
17/10/2016,582.04
18/10/2016,576.29
19/10/2016,579.09
20/10/2016,582.17
21/10/2016,601.69
22/10/2016,599.9
23/10/2016,600.17
24/10/2016,601.59
25/10/2016,620.56
26/10/2016,628.72
27/10/2016,628.12
28/10/2016,645.13
29/10/2016,628.48
30/10/2016,700.748
31/10/2016,634.14
1/11/2016,658.54
2/11/2016,662.53
3/11/2016,618.44
4/11/2016,632.02
5/11/2016,631.84
6/11/2016,639.95
7/11/2016,637.74
8/11/2016,646.54
9/11/2016,661.01
10/11/2016,657.8
11/11/2016,660.61
12/11/2016,647.53
13/11/2016,647.24
14/11/2016,657.94
15/11/2016,663.66
16/11/2016,694.09
17/11/2016,694.2
18/11/2016,704.57
19/11/2016,708.45
20/11/2016,688.2
21/11/2016,694.84
22/11/2016,707.35
23/11/2016,705.33
24/11/2016,700.76
25/11/2016,701.9
26/11/2016,696.55
27/11/2016,693.33
28/11/2016,695.09
29/11/2016,691.61
30/11/2016,703.65
1/12/2016,709.97
2/12/2016,730.59
3/12/2016,727.75
4/12/2016,732.25
5/12/2016,714.7
6/12/2016,717.94
7/12/2016,722.18
8/12/2016,730.17
9/12/2016,734.11
10/12/2016,736.74
11/12/2016,740.66
12/12/2016,739.27
13/12/2016,740.04
14/12/2016,739.26
15/12/2016,747.91
16/12/2016,752.86
17/12/2016,760.05
18/12/2016,759.18
19/12/2016,764.64
20/12/2016,776.29
21/12/2016,796.26
22/12/2016,825.53
23/12/2016,881.88
24/12/2016,855.02
25/12/2016,858.6
26/12/2016,863.07
27/12/2016,888.46
28/12/2016,936.44
29/12/2016,930.84
30/12/2016,913.45
31/12/2016,913.7
1/1/2017,946.47
2/1/2017,973.48
3/1/2017,990.37
4/1/2017,1073.81
5/1/2017,941.38
6/1/2017,846.85
7/1/2017,854.12
8/1/2017,866.14
9/1/2017,859.78
10/1/2017,866.43
11/1/2017,750.87
12/1/2017,771.5
13/1/2017,781.57
14/1/2017,770.39
15/1/2017,777.51
16/1/2017,789.56
17/1/2017,855.16
